city_id,city_name,country_code,latitude,longitude,date,max_temp,humidity,cloudiness,wind_speed
884,ushuaia,ar,-83.9057,-61.6891,1552582800,57.2,54,20,6.85
885,vaini,to,-36.336,-167.6429,1552582800,77,94,90,5.82
886,ushuaia,ar,-77.3291,-31.5306,1552582800,57.2,54,20,6.85
887,os,no,62.5865,11.0831,1552584000,26.6,73,0,6.93
889,rikitea,pf,-56.3967,-113.4608,1552584623,75.34,100,100,17.36
890,puerto ayora,ec,-19.5384,-107.0314,1552583779,80.6,74,0,10.29
891,gondanglegi,id,-8.947,112.8536,1552585019,69.85,87,12,4.94
892,neiafu,to,-17.3898,-177.9084,1552582800,77,78,20,12.75
894,paita,pe,-6.065,-83.8691,1552582800,62.6,290,0,11.41
895,bathsheba,bb,21.364,-43.1398,1552582800,84.2,66,40,17.22
896,mount pleasant,us,30.8869,-78.1818,1552584873,79,53,1,12.75
897,mahebourg,mu,-45.7764,79.4548,1552584544,80.6,74,75,3.71
898,umm lajj,sa,25.6071,40.6087,1552585008,63.87,95,0,10.65
899,victoria,sc,-4.0082,62.9972,1552582800,84.2,74,20,5.82
900,yellowknife,ca,73.062,-113.9813,1552584614,3.99,77,20,9.17
901,axim,gh,-1.194,-3.5102,1552585021,84.39,95,20,10.09
902,sao geraldo do araguaia,br,-6.8828,-48.7188,1552584634,84.97,90,12,2.37
903,port hardy,ca,48.5961,-129.7942,1552582800,41,86,75,5.82
904,cherskiy,ru,89.8787,162.2377,1552584634,-26.09,39,48,2.48
905,ushuaia,ar,-83.1541,-35.7654,1552582800,57.2,54,20,6.85
906,saint-pierre,pm,37.9608,-55.6467,1552582800,35.6,59,0,9.17
907,port alfred,za,-81.9192,39.9985,1552584580,68,94,88,3.94
909,balkhash,kz,46.1693,75.5804,1552584964,19.72,73,0,3.27
910,marystown,ca,47.8512,-55.0367,1552584051,35.01,100,48,11.99
911,khatanga,ru,86.5047,96.8136,1552584651,5.64,73,32,12.77
912,saint-philippe,re,-56.19,66.1842,1552584634,78.8,69,64,5.82
913,yellowknife,ca,68.8348,-114.1127,1552584614,3.99,77,20,9.17
914,ushuaia,ar,-78.2687,-21.3747,1552582800,57.2,54,20,6.85
915,kilrush,ie,53.0478,-9.7943,1552584959,55,87,75,20.8
916,port alfred,za,-52.754,36.7735,1552584580,68,94,88,3.94
917,ushuaia,ar,-80.3077,-17.5991,1552582800,57.2,54,20,6.85
918,busselton,au,-39.3457,98.1246,1552584607,66,39,0,11.43
920,belmonte,br,-15.0677,-34.5516,1552584695,75.99,99,32,4.05
921,lebu,cl,-31.2121,-90.6789,1552584615,57.7,91,0,24.74
922,chokurdakh,ru,83.3741,153.6443,1552584655,-20.47,29,56,2.93
923,korla,cn,41.3824,85.2262,1552584825,27.6,62,0,4.38
924,kahului,us,30.6503,-149.1069,1552584027,70,82,20,8.05
925,butaritari,ki,12.3298,161.3651,1552584618,78.9,100,92,12.21
928,thompson,ca,58.3924,-93.7062,1552582800,24.8,62,90,6.93
929,bredasdorp,za,-64.2096,19.2882,1552584651,69.8,83,88,11.41
930,yellowknife,ca,84.9993,-106.6172,1552584614,3.99,77,20,9.17
931,butaritari,ki,20.6055,166.7104,1552584618,78.9,100,92,12.21
933,palmer,us,59.7855,-145.2894,1552584793,37.4,80,90,23.04
934,hilo,us,10.7237,-151.0026,1552584378,66.99,88,90,5.82
